QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
425,121027,10420,44674,7775,6330,4488
426,122423,10545,44648,7793,5655,3218
427,121470,10536,44868,7818,5938,4512
428,121137,10577,45597,7823,5788,3230
429,123732,10604,46487,7858,5945,4531
430,124474,10621,48198,7883,6135,4542
431,124720,10594,48811,7889,6014,4547
432,124080,10686,47559,7913,5976,4565
433,124425,10731,45240,7941,6570,3262
434,126363,10664,48622,7969,5927,4589
435,124369,10766,44947,7996,6473,4588
436,125547,10807,45978,7969,5878,4605
437,126580,10834,47699,8037,6323,3289
438,127690,10773,49936,8038,6425,4619
439,130185,10842,47716,8058,7024,4638
440,127661,10865,47062,8089,5905,3313
441,131857,10949,50399,8087,6047,3318
442,129688,11014,46983,8148,5904,4674
443,131336,10948,49879,8149,6498,3343
444,132940,11019,52261,8176,6764,3350
445,131621,10989,48028,8188,6555,4701
446,131024,11093,48449,8215,6551,4707
447,130945,11105,48704,8227,6443,4714
448,133231,11140,50057,8247,6551,4734
449,134258,11068,50486,8276,6630,3388
450,134520,11115,50603,8298,7144,4755
451,136895,11139,51944,8311,6285,4764
452,134644,11195,50773,8320,6845,4772
453,136095,11306,50641,8356,5833,4772
454,135608,11248,50876,8379,6453,3417
455,139297,11257,53658,8399,6452,4799
456,136324,11370,50747,8409,7110,3435
457,140142,11322,52775,8402,7181,4816
458,141057,11399,52605,8459,6539,4829
459,139080,11438,51021,8497,6527,4844
460,140107,11482,52996,8506,7520,4855
461,140729,11506,52966,8520,6931,4856
462,142030,11475,54316,8547,7081,3478
463,140096,11667,49723,8561,6411,3485
464,145176,11534,57249,8595,6621,3495
465,143659,11633,53943,8614,6048,3497
466,144078,11587,54956,8646,7618,4922
467,143690,11689,52628,8652,6666,3523
468,145042,11739,52535,8671,6255,4941
469,145173,11682,54299,8667,6272,3535
470,144651,11636,56312,8721,7300,4962
471,148890,11657,58495,8708,6506,4971
472,146676,11851,54087,8748,6141,4976
473,148652,11836,56603,8783,7292,2126
474,148151,11919,56066,8778,7084,3571
475,148574,11901,55338,8818,6715,5002
476,148377,11864,58098,8835,7423,3584
477,151202,12020,54815,8840,6755,5024
478,152772,11899,58942,8868,6422,5039
479,149731,12037,54793,8902,6901,5060
480,153703,12126,57908,8911,6446,5075
481,155450,12099,60720,8933,7451,5084
482,154546,12083,59938,8975,7036,3643
483,151532,12035,58091,8995,7296,3628
484,153247,12151,57624,8990,7067,5115
485,155874,12124,59223,9031,6908,5114
486,154797,12225,57042,9040,8385,5130
487,154326,12207,58225,9059,6870,5144
488,161956,12215,63009,9100,6996,5150
489,157070,12281,60713,9101,7789,5157
490,156970,12373,57145,9119,7994,5172
491,161106,12283,60182,9157,7424,5182
492,161109,12249,64833,9175,6561,5189
493,161567,12417,61935,9205,7528,5196
494,159986,12338,62068,9219,7263,5211
495,160625,12425,60465,9234,7876,5228
496,160375,12496,58953,9266,7313,5231
497,162956,12625,62117,9271,8381,5252
498,164888,12540,65893,9274,6801,3762
499,165469,12663,62974,9303,7580,3752
500,165123,12611,64310,9329,6865,5274
501,163510,12614,63710,9350,7246,3779
502,163774,12751,60456,9368,7021,5283
503,165906,12724,62424,9399,8512,5303
504,167241,12762,63091,9404,7624,5324
505,169992,12723,64426,9448,8877,3810
506,167208,12800,62336,9462,7726,3808
507,166729,12851,61783,9473,7373,5342
508,169973,12871,63724,9501,7760,5356
509,168877,12859,63557,9532,8625,5375
510,170536,12873,66081,9549,7019,5388
511,171710,12849,65877,9564,8654,5395
512,172430,12968,64269,9582,8056,5408
513,173523,12983,67189,9622,8451,3875
514,175006,12985,67431,9612,8100,5428
515,172737,13114,64598,9661,8618,5431
516,174127,13128,65930,9670,6992,5438
517,172496,13119,64366,9694,8201,5446
518,176234,13142,69090,9739,7212,3905
519,176557,13079,71029,9762,7829,5491
520,178700,13120,69971,9795,8753,5479
521,181043,13186,70945,9834,8168,5492
522,176082,13293,66343,9812,7295,3932
523,182485,13266,69647,9831,7412,3932
524,180606,13244,69109,9887,7214,5540
525,179596,13400,66568,9883,7583,5532
526,177952,13498,64590,9914,8159,5543
527,180066,13414,67763,9932,8988,5556
528,180092,13443,69112,9978,7069,5566
529,184828,13500,70331,9955,7968,3981
530,186874,13436,73346,9975,8169,5589
531,186506,13469,75260,10030,7998,5595
532,185706,13549,70096,10055,7349,4003
533,186706,13660,69363,10049,7885,5631
534,187645,13686,72229,10074,7620,4016
535,186844,13548,72646,10100,7675,4035
536,188900,13706,70766,10122,8127,5654
537,190495,13607,78326,10155,7947,5670
538,187394,13756,69746,10186,7006,5662
539,187457,13834,69744,10193,7836,5676
540,191514,13758,72824,10184,7658,5703
541,192071,13890,73778,10244,7267,5703
542,191525,13880,73014,10261,8151,4078
543,191430,13826,71920,10307,7847,5725
544,192517,13891,72389,10311,9397,2457
